Timestamp,BTC_Price,ETH_Price,SOL_Price,PORSCHE_Price,TESLA_Price
2026-06-20 09:57:12,63641,1724.1,71.51,30.68,400.49
2026-06-20 10:03:07,63580,1723.79,71.5,30.68,400.49
